ctry;cons5_raw;Plur_raw;gvteff_raw;pop_raw;hdi_raw;lnpop_raw;logpop_raw;cons4_raw;;cons5_fs;cons4_fs;plur_fs;gvteff_fs;hdi_fs;infl_fs;dem_fs;corp_fs;pop_fs;cons5_cs;cons4_cs;plur_cs;gvteff_cs;hdi_cs;infl_cs;dem_cs;corp_cs;pop_cs
AUL;-0,65;1,88;1,76;21875;0,936999977;9,993100166;4,339948177;-0,7114408;;0,07;0,03;0,71;0,91;1;0,37;0,87;0,29;0,16;0;0;1;1;1;0;1;0;0
AUT;0,64;0,38;1,8;8364;0,851000011;9,031692505;3,922414064;0,239421;;0,84;0,68;0,01;0,94;0,01;0;0,24;0,99;0,01;1;1;0;1;0;0;0;1;0
BEL;1,1;1,33;1,68;10789;0,866999984;9,286282539;4,032981396;0,9764277;;0,97;0,99;0,27;0,84;0,12;0;0,04;0,73;0,03;1;1;0;1;0;0;0;1;0
CAN;-1,03;3,17;1,86;33740;0,888000011;10,42643929;4,528145313;-0,7668328;;0,02;0,02;0,99;0,96;0,77;0,01;0,83;0,01;0,39;0;0;1;1;1;0;1;0;0
DEN;1,35;0,88;2,1;5529;0,865999997;8,617762566;3,742646694;1,113399;;0,99;1;0,07;1;0,11;0,01;0,99;0,93;0;1;1;0;1;0;0;1;1;0
FIN;1,48;0,67;2,07;5338;0,870999992;8,582606316;3,727378607;1,194773;;0,99;1;0,03;0,99;0,21;0,02;0,93;0,97;0;1;1;0;1;0;0;1;1;0
FRA;-0,89;2,75;1,59;62616;0,871999979;11,04477596;4,796685219;-0,7331321;;0,03;0,02;0,98;0,69;0,23;0,01;0,02;0,02;0,91;0;0;1;1;0;0;0;0;1
GER;0,63;0,88;1,65;81880;0,88499999;11,31301022;4,913177967;0,3572799;;0,84;0,82;0,07;0,8;0,68;0;0,35;0,93;0,98;1;1;0;1;1;0;0;1;1
GRE;-0,55;3,12;0,79;11283;0,855000019;9,33105278;4,052424431;-0,2782773;;0,09;0,15;0,99;0,02;0,02;1;0,03;0,01;0,03;0;0;1;0;0;1;0;0;0
IRE;0,38;2,42;1,62;4450;0,894999981;8,400659561;3,648360014;0,5107631;;0,66;0,92;0,94;0,75;0,9;0,22;0,69;0,06;0;1;1;1;1;1;0;1;0;0
ITA;1,13;2,08;0,72;60221;0,853999972;11,00577641;4,779747963;1,209835;;0,97;1;0,82;0,01;0,02;0,77;0,01;0,18;0,89;1;1;1;0;0;1;0;0;1
NET;1,17;1;1,89;16531;0,889999986;9,712992668;4,218298912;0,9601355;;0,98;0,99;0,1;0,97;0,82;0;0,97;0,9;0,08;1;1;0;1;1;0;1;1;0
NOR;1,09;0,38;1,92;4827;0,938000023;8,481980324;3,683677197;0,7067339;;0,97;0,97;0,01;0,98;1;0,32;0,99;0,99;0;1;1;0;1;1;0;1;1;0
NZ;-0,17;2,71;1,79;4316;0,907000005;8,370084763;3,63508153;0,0123174;;0,24;0,39;0,97;0,93;0,98;0,55;0,89;0,03;0;0;0;1;1;1;1;1;0;0
POR;0,04;2,62;1,11;10632;0,795000017;9,271623611;4,026615143;0,2103558;;0,37;0,65;0,97;0,11;0;0,99;0,03;0,03;0,02;0;1;1;0;0;1;0;0;0
SPA;-0,63;3,04;1,4;45958;0,862999976;10,73548317;4,662361145;-0,3804654;;0,07;0,1;0,99;0,37;0,07;0,76;0,09;0,01;0,69;0;0;1;0;0;1;0;0;1
SWE;0,87;0,42;1,96;9302;0,88499999;9,137984276;3,968576431;0,4867419;;0,93;0,91;0,01;0,98;0,68;0,1;1;0,99;0,02;1;1;0;1;1;0;1;1;0
UK;-1,48;3,08;1,76;61838;0,848999977;11,03227329;4,791255474;-1,26702;;0,01;0;0,99;0,91;0,01;0,1;0,04;0,01;0,91;0;0;1;1;0;0;0;0;1
US;-0,63;2,88;1,64;307007;0,90200001;12,63462543;5,487148285;-0,4210007;;0,07;0,09;0,99;0,78;0,96;0;0,06;0,01;1;0;0;1;1;1;0;0;0;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;\;;;;;;;;;;;;;;;;;;;;;
